Run #1,Run #1,Run #2,Run #2,Run #3,Run #3,Run #4,Run #4,Run #5,Run #5,Run #6,Run #6,Run #7,Run #7,Run #8,Run #8,Run #9,Run #9,Run #10,Run #10
Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m),Time (s),Position (m)
0.58,0.6601,0.58,0.6109,0.58,0.6208,0.58,0.6007,0.58,0.6726,0.58,0.6107,0.58,0.3603,0.58,0.3039,0.58,0.5107,0.58,0.3979
0.59,0.6552,0.59,0.6009,0.59,0.6107,0.59,0.6005,0.59,0.668,0.59,0.6007,0.59,0.3503,0.59,0.3002,0.59,0.5006,0.59,0.3884
0.6,0.6549,0.6,0.5909,0.6,0.6007,0.6,0.5911,0.6,0.6601,0.6,0.5907,0.6,0.3377,0.6,0.2965,0.6,0.4906,0.6,0.3823
0.61,0.651,0.61,0.5808,0.61,0.5907,0.61,0.5816,0.61,0.6548,0.61,0.5807,0.61,0.3283,0.61,0.2948,0.61,0.4806,0.61,0.3734
0.62,0.6499,0.62,0.5808,0.62,0.5807,0.62,0.5719,0.62,0.6463,0.62,0.5606,0.62,0.3192,0.62,0.2924,0.62,0.4706,0.62,0.3649
0.63,0.6479,0.63,0.5708,0.63,0.5807,0.63,0.562,0.63,0.6376,0.63,0.5506,0.63,0.3105,0.63,0.2922,0.63,0.4506,0.63,0.3567
0.64,0.6424,0.64,0.5608,0.64,0.5706,0.64,0.5521,0.64,0.6286,0.64,0.5406,0.64,0.3053,0.64,0.292,0.64,0.4405,0.64,0.3489
0.65,0.6393,0.65,0.5508,0.65,0.5606,0.65,0.542,0.65,0.6194,0.65,0.5306,0.65,0.2975,0.65,0.2919,0.65,0.4305,0.65,0.3445
0.66,0.6327,0.66,0.5407,0.66,0.5506,0.66,0.5318,0.66,0.61,0.66,0.5206,0.66,0.2902,0.66,0.292,0.66,0.4205,0.66,0.3376
0.67,0.6286,0.67,0.5307,0.67,0.5306,0.67,0.5216,0.67,0.6004,0.67,0.5106,0.67,0.2863,0.67,0.2925,0.67,0.4105,0.67,0.331
0.68,0.6211,0.68,0.5207,0.68,0.5205,0.68,0.5114,0.68,0.5906,0.68,0.5005,0.68,0.2799,0.68,0.2938,0.68,0.4005,0.68,0.3278
0.69,0.613,0.69,0.5107,0.69,0.5105,0.69,0.5012,0.69,0.5806,0.69,0.4804,0.69,0.277,0.69,0.2972,0.69,0.3905,0.69,0.3221
0.7,0.6045,0.7,0.5028,0.7,0.503,0.7,0.491,0.7,0.5706,0.7,0.4704,0.7,0.2716,0.7,0.3011,0.7,0.3905,0.7,0.3199
0.71,0.5985,0.71,0.4927,0.71,0.4919,0.71,0.4809,0.71,0.5605,0.71,0.4604,0.71,0.2697,0.71,0.3054,0.71,0.3804,0.71,0.315
0.72,0.5892,0.72,0.4826,0.72,0.4807,0.72,0.4709,0.72,0.5503,0.72,0.4504,0.72,0.2661,0.72,0.3131,0.72,0.3704,0.72,0.3137
0.73,0.5794,0.73,0.4725,0.73,0.4695,0.73,0.461,0.73,0.54,0.73,0.4404,0.73,0.2654,0.73,0.3182,0.73,0.3602,0.73,0.3127
0.74,0.5694,0.74,0.4626,0.74,0.4553,0.74,0.4512,0.74,0.5297,0.74,0.4304,0.74,0.2654,0.74,0.3266,0.74,0.3492,0.74,0.3093
0.75,0.5559,0.75,0.4527,0.75,0.444,0.75,0.4416,0.75,0.5193,0.75,0.4304,0.75,0.2651,0.75,0.3324,0.75,0.3443,0.75,0.3093
0.76,0.5452,0.76,0.443,0.76,0.4329,0.76,0.4322,0.76,0.509,0.76,0.4203,0.76,0.2674,0.76,0.3416,0.76,0.3368,0.76,0.3097
0.77,0.5343,0.77,0.4335,0.77,0.4218,0.77,0.423,0.77,0.4987,0.77,0.4103,0.77,0.2694,0.77,0.3481,0.77,0.3297,0.77,0.3107
0.78,0.5231,0.78,0.4272,0.78,0.4108,0.78,0.4141,0.78,0.4884,0.78,0.4003,0.78,0.2722,0.78,0.3578,0.78,0.3231,0.78,0.312
0.79,0.5117,0.79,0.4181,0.79,0.3999,0.79,0.4084,0.79,0.4782,0.79,0.3903,0.79,0.2755,0.79,0.3679,0.79,0.3199,0.79,0.3138
0.8,0.5001,0.8,0.4092,0.8,0.3893,0.8,0.4,0.8,0.4651,0.8,0.3802,0.8,0.2791,0.8,0.3781,0.8,0.3172,0.8,0.316
0.81,0.4854,0.81,0.4007,0.81,0.3788,0.81,0.3949,0.81,0.4551,0.81,0.3701,0.81,0.2862,0.81,0.3886,0.81,0.3121,0.81,0.3217
0.82,0.4737,0.82,0.3954,0.82,0.3685,0.82,0.3871,0.82,0.4453,0.82,0.3682,0.82,0.2907,0.82,0.3993,0.82,0.3104,0.82,0.3247
0.83,0.4619,0.83,0.3875,0.83,0.3585,0.83,0.3797,0.83,0.4356,0.83,0.3675,0.83,0.2986,0.83,0.4101,0.83,0.3093,0.83,0.3282
0.84,0.4501,0.84,0.383,0.84,0.3488,0.84,0.3756,0.84,0.4291,0.84,0.3674,0.84,0.3068,0.84,0.4211,0.84,0.3086,0.84,0.335
0.85,0.4352,0.85,0.3757,0.85,0.3393,0.85,0.3689,0.85,0.4197,0.85,0.3684,0.85,0.3123,0.85,0.4322,0.85,0.3084,0.85,0.3392
0.86,0.4235,0.86,0.3689,0.86,0.3302,0.86,0.3655,0.86,0.4106,0.86,0.3698,0.86,0.3212,0.86,0.4434,0.86,0.3083,0.86,0.3468
0.87,0.4118,0.87,0.3655,0.87,0.3245,0.87,0.3596,0.87,0.4017,0.87,0.3746,0.87,0.3304,0.87,0.4546,0.87,0.3085,0.87,0.3517
0.88,0.4003,0.88,0.3595,0.88,0.3161,0.88,0.357,0.88,0.3931,0.88,0.3769,0.88,0.3368,0.88,0.4659,0.88,0.3087,0.88,0.36
