"Time (s) Run #1","Geiger Counts (counts/sample) Run #1","Time (s) Run #2","Geiger Counts (counts/sample) Run #2","Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
,,71.400,0,35.700,0
,,71.600,0,35.800,0
,,71.800,0,35.900,0
,,72.000,0,36.000,0
,,72.200,0,36.100,0
,,72.400,0,36.200,0
,,72.600,0,36.300,0
,,72.800,0,36.400,0
,,73.000,0,36.500,0
,,73.200,0,36.600,0
,,73.400,0,36.700,0
,,73.600,0,36.800,0
,,73.800,0,36.900,0
,,74.000,0,37.000,0
,,74.200,0,37.100,0
,,74.400,0,37.200,1
,,74.600,0,37.300,0
,,74.800,0,37.400,0
,,75.000,0,37.500,0
,,75.200,0,37.600,0
,,75.400,0,37.700,0
,,75.600,0,37.800,0
,,75.800,0,37.900,0
,,76.000,0,38.000,0
,,76.200,0,38.100,0
,,76.400,0,38.200,0
,,76.600,0,38.300,0
,,76.800,0,38.400,0
,,77.000,0,38.500,0
,,77.200,0,38.600,0
,,77.400,0,38.700,0
,,77.600,0,38.800,0
,,77.800,0,38.900,0
,,78.000,0,39.000,0
,,78.200,0,39.100,0
,,78.400,1,39.200,0
,,78.600,0,39.300,0
,,78.800,0,39.400,0
,,79.000,0,39.500,0
,,79.200,0,39.600,0
,,79.400,0,39.700,0
,,79.600,0,39.800,0
,,79.800,1,39.900,0
,,80.000,0,40.000,0
,,80.200,0,40.100,0
,,80.400,0,40.200,0
,,80.600,0,40.300,1
,,80.800,1,40.400,0
,,81.000,0,40.500,0
,,81.200,0,40.600,0
,,81.400,0,40.700,0
,,81.600,0,40.800,0
,,81.800,0,40.900,0
,,82.000,0,41.000,1
,,82.200,0,41.100,0
,,82.400,0,41.200,0
,,82.600,0,41.300,0
,,82.800,0,41.400,0
,,83.000,0,41.500,0
,,83.200,0,41.600,0
,,83.400,0,41.700,0
,,83.600,0,41.800,0
,,83.800,0,41.900,0
,,84.000,0,42.000,0
,,84.200,0,42.100,0
,,84.400,0,42.200,0
,,84.600,0,42.300,0
,,84.800,0,42.400,0
,,85.000,0,42.500,0
,,85.200,0,42.600,0
,,85.400,0,42.700,0
,,85.600,0,42.800,0
,,85.800,0,42.900,0
,,86.000,0,43.000,0
,,86.200,0,43.100,0
,,86.400,0,43.200,0
,,86.600,0,43.300,0
,,86.800,0,43.400,0
,,87.000,0,43.500,0
,,87.200,0,43.600,0
,,87.400,0,43.700,0
,,87.600,0,43.800,0
,,87.800,0,43.900,0
,,88.000,0,44.000,0
,,88.200,0,44.100,0
,,88.400,0,44.200,0
,,88.600,1,44.300,0
,,88.800,0,44.400,0
,,89.000,0,44.500,0
,,89.200,0,44.600,1
,,89.400,0,44.700,0
,,89.600,0,44.800,0
,,89.800,0,44.900,0
,,90.000,0,45.000,0
,,90.200,0,45.100,0
,,90.400,0,45.200,0
,,90.600,1,45.300,0
,,90.800,0,45.400,0
,,91.000,0,45.500,0
,,91.200,0,45.600,0
,,91.400,0,45.700,0
,,91.600,0,45.800,0
,,91.800,0,45.900,0
,,92.000,0,46.000,0
,,92.200,0,46.100,0
,,92.400,0,46.200,0
,,92.600,0,46.300,0
,,92.800,0,46.400,0
,,93.000,0,46.500,0
,,93.200,0,46.600,0
,,93.400,0,46.700,0
,,93.600,0,46.800,0
,,93.800,0,46.900,0
,,94.000,0,47.000,0
,,94.200,0,47.100,0
,,94.400,0,47.200,0
,,94.600,0,47.300,0
,,94.800,0,47.400,0
,,95.000,0,47.500,0
,,95.200,0,47.600,0
,,95.400,0,47.700,0
,,95.600,0,47.800,0
,,95.800,0,47.900,0
,,96.000,0,48.000,0
,,96.200,0,48.100,0
,,96.400,0,48.200,0
,,96.600,0,48.300,0
,,96.800,0,48.400,0
,,97.000,0,48.500,0
,,97.200,0,48.600,0
,,97.400,0,48.700,0
,,97.600,0,48.800,0
,,97.800,0,48.900,0
,,98.000,0,49.000,0
,,98.200,0,49.100,0
,,98.400,0,49.200,0
,,98.600,0,49.300,1
,,98.800,0,49.400,0
,,99.000,0,49.500,0
,,99.200,0,49.600,0
,,99.400,0,49.700,0
,,99.600,0,49.800,0
,,99.800,0,49.900,0
,,100.000,0,50.000,0
,,100.200,0,50.100,0
,,100.400,0,50.200,0
,,100.600,0,50.300,0
,,100.800,0,50.400,0
,,101.000,0,50.500,1
,,101.200,0,50.600,0
,,101.400,0,50.700,0
,,101.600,0,50.800,0
,,101.800,0,50.900,1
,,102.000,0,51.000,0
,,102.200,0,51.100,0
,,102.400,0,51.200,0
,,102.600,0,51.300,0
,,102.800,0,51.400,0
,,103.000,0,51.500,0
,,103.200,0,51.600,0
,,103.400,0,51.700,0
,,103.600,0,51.800,0
,,103.800,0,51.900,0
,,104.000,0,52.000,0
,,104.200,0,52.100,0
,,104.400,1,52.200,0
,,104.600,0,52.300,0
,,104.800,0,52.400,0
,,105.000,0,52.500,0
,,105.200,0,52.600,0
,,105.400,0,52.700,0
,,105.600,0,52.800,0
,,105.800,0,52.900,0
,,106.000,0,53.000,0
,,106.200,0,53.100,0
,,106.400,0,53.200,0
,,106.600,0,53.300,0
,,106.800,0,53.400,0
,,107.000,0,53.500,0
,,107.200,0,53.600,0
,,107.400,0,53.700,0
,,107.600,0,53.800,0
,,107.800,0,53.900,0
,,108.000,1,54.000,0
,,108.200,0,54.100,0
,,108.400,0,54.200,0
,,108.600,0,54.300,0
,,108.800,0,54.400,0
